epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5659.09,0.5305,0.70565,0.90142,0.95535,0.93762,0.96808,0.88931,0.36627,0.32743,0.76271,0.00333317,0.00333317,0.00333317
2,11181.6,0.42697,0.40533,0.84865,0.96486,0.94349,0.97438,0.89986,0.38197,0.32544,0.76978,0.00660051,0.00660051,0.00660051
3,16640.4,0.40706,0.36839,0.84595,0.88567,0.71453,0.85326,0.73093,0.63417,1.37351,0.9566,0.00980184,0.00980184,0.00980184
4,21855.8,0.38267,0.34368,0.84185,0.23309,0.05808,0.13422,0.06138,2.82812,4.98854,2.45137,0.009703,0.009703,0.009703
5,26902.2,0.36309,0.32437,0.83772,0.2661,0.18037,0.20345,0.09815,2.34556,4.79262,2.10893,0.009604,0.009604,0.009604
6,32017.8,0.35387,0.31553,0.83566,0.39104,0.81286,0.66176,0.50991,0.84515,2.67606,1.05195,0.009505,0.009505,0.009505
7,6100.01,0.36659,0.32992,0.83921,0.96375,0.92984,0.97178,0.90734,0.3644,0.44298,0.78248,0.009406,0.009406,0.009406
8,11938.5,0.35603,0.31978,0.83673,0.97396,0.94914,0.97976,0.92142,0.34316,0.29868,0.75782,0.009307,0.009307,0.009307
9,17787.6,0.34987,0.31359,0.83538,0.97525,0.95585,0.98128,0.92496,0.33701,0.27019,0.75028,0.009208,0.009208,0.009208
10,23660.8,0.34559,0.30982,0.83424,0.9788,0.95568,0.98178,0.92663,0.3342,0.25907,0.74688,0.009109,0.009109,0.009109
11,29708.5,0.34388,0.30823,0.83364,0.97841,0.95791,0.98209,0.92754,0.3333,0.2526,0.74501,0.00901,0.00901,0.00901
