epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5958.38,inf,0.69092,0.89264,0.95828,0.9355,0.96796,0.88856,0.36817,0.32946,0.76826,0.00333317,0.00333317,0.00333317
2,11819.2,0.42639,0.40089,0.84807,0.96743,0.93949,0.97375,0.90123,0.37972,0.32536,0.77375,0.00653451,0.00653451,0.00653451
3,17516.9,0.40653,0.36723,0.84545,0.90682,0.77646,0.89624,0.78575,0.58738,1.28285,0.94493,0.00960385,0.00960385,0.00960385
4,23165,0.38205,0.34329,0.84129,0.23611,0.0642,0.13954,0.05035,2.90104,5.03475,2.42949,0.009406,0.009406,0.009406
5,28811.1,0.36111,0.32264,0.83657,0.2885,0.19673,0.22871,0.10117,2.28555,4.66834,1.97396,0.009208,0.009208,0.009208
6,34433.1,0.35072,0.31284,0.83454,0.87697,0.53546,0.78148,0.64137,0.71868,2.26253,0.96996,0.00901,0.00901,0.00901
7,40035.1,inf,0.30717,0.83334,0.95807,0.91334,0.96688,0.8993,0.37208,0.52519,0.79353,0.008812,0.008812,0.008812
8,45699.4,0.33922,0.30272,0.8325,0.97346,0.94787,0.98046,0.92335,0.33941,0.30323,0.75918,0.008614,0.008614,0.008614
9,51089.8,0.33513,0.29922,0.83164,0.97645,0.95621,0.98212,0.92679,0.33596,0.26435,0.74884,0.008416,0.008416,0.008416
10,56486.4,0.33117,0.29598,0.83085,0.97736,0.95901,0.98233,0.92792,0.33766,0.25219,0.74562,0.008218,0.008218,0.008218
11,62008.6,0.32777,0.29268,0.83031,0.97787,0.95992,0.98222,0.92835,0.33848,0.24809,0.74333,0.00802,0.00802,0.00802
12,67548,0.32597,0.29127,0.83024,0.97936,0.95984,0.98229,0.92883,0.33676,0.24465,0.74314,0.007822,0.007822,0.007822
