epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6984.15,0.51923,0.66596,0.89015,0.95629,0.9304,0.96542,0.88243,0.37911,0.34901,0.77265,0.00333325,0.00333325,0.00333325
2,13653.7,0.42634,0.40042,0.84968,0.96142,0.93746,0.97236,0.89175,0.41484,0.37844,0.79379,0.00660059,0.00660059,0.00660059
3,20190.6,0.41062,0.3732,0.84723,0.88431,0.45314,0.76581,0.61729,0.81818,2.23323,1.08053,0.00980192,0.00980192,0.00980192
4,26411.9,0.38806,0.35119,0.8433,0.21832,0.05546,0.12604,0.04379,2.89269,5.05569,2.61625,0.009703,0.009703,0.009703
5,32564,0.36934,0.33227,0.83879,0.22417,0.14202,0.16188,0.05881,2.41273,4.92387,2.23638,0.009604,0.009604,0.009604
6,38640.4,0.36034,0.32351,0.8368,0.34653,0.8456,0.6826,0.51683,0.90728,2.79453,1.06617,0.009505,0.009505,0.009505
7,44691.8,0.35423,0.31712,0.83569,0.95536,0.90279,0.96154,0.88539,0.39543,0.62445,0.80605,0.009406,0.009406,0.009406
8,50733,0.35116,0.31439,0.83548,0.97173,0.94758,0.97993,0.92009,0.34359,0.3145,0.76208,0.009307,0.009307,0.009307
9,56851.9,0.34633,0.31025,0.83438,0.9772,0.95636,0.98205,0.92606,0.33343,0.2689,0.74962,0.009208,0.009208,0.009208
10,62740.4,0.34457,0.30948,0.83405,0.97888,0.9582,0.9825,0.92799,0.32946,0.25442,0.74477,0.009109,0.009109,0.009109
11,68715.6,0.34172,0.30658,0.83377,0.97821,0.95986,0.9827,0.92841,0.33074,0.24846,0.74299,0.00901,0.00901,0.00901
12,74861.6,0.3396,0.30431,0.83276,0.97846,0.95987,0.98294,0.92856,0.33121,0.24495,0.74222,0.008911,0.008911,0.008911
13,80794.7,0.33884,0.30422,0.8331,0.97818,0.96011,0.9828,0.92811,0.33403,0.24453,0.74205,0.008812,0.008812,0.008812
14,86709.7,0.33644,0.30175,0.83242,0.97769,0.96012,0.98266,0.92816,0.33553,0.24356,0.74179,0.008713,0.008713,0.008713
15,92767.1,0.33429,0.29989,0.8322,0.97895,0.96006,0.98271,0.92747,0.33918,0.24398,0.74176,0.008614,0.008614,0.008614
16,99203,inf,0.29919,0.83224,0.97968,0.95974,0.98265,0.92786,0.33802,0.24345,0.74167,0.008515,0.008515,0.008515
17,105305,0.33169,0.29734,0.83175,0.9797,0.95966,0.9827,0.92791,0.33788,0.24202,0.74148,0.008416,0.008416,0.008416
18,111806,0.32997,0.29594,0.83135,0.97766,0.96173,0.98279,0.92804,0.33727,0.24076,0.74163,0.008317,0.008317,0.008317
19,118058,0.32964,0.29623,0.83112,0.97791,0.96192,0.98261,0.92799,0.33798,0.24082,0.74136,0.008218,0.008218,0.008218
20,124338,0.32758,0.29406,0.83083,0.97921,0.96051,0.98265,0.9289,0.3338,0.24036,0.74085,0.008119,0.008119,0.008119
21,130606,0.32702,0.29353,0.8307,0.97911,0.96133,0.98267,0.92947,0.32946,0.24024,0.74094,0.00802,0.00802,0.00802
22,136810,0.32523,0.29195,0.83077,0.97866,0.96238,0.98279,0.92947,0.3283,0.2386,0.74011,0.007921,0.007921,0.007921
23,142805,0.32468,0.29137,0.83033,0.97879,0.96205,0.98263,0.92985,0.32639,0.23814,0.74002,0.007822,0.007822,0.007822
24,148666,0.32354,0.29095,0.82995,0.97908,0.96161,0.98252,0.92972,0.32616,0.23859,0.74052,0.007723,0.007723,0.007723
25,154550,0.32249,0.2901,0.82958,0.97938,0.96137,0.98259,0.92968,0.32576,0.23834,0.74138,0.007624,0.007624,0.007624
26,160401,0.32166,0.28873,0.82979,0.97914,0.96192,0.98279,0.92997,0.32593,0.23779,0.74179,0.007525,0.007525,0.007525
27,166590,0.32005,0.28749,0.82927,0.98001,0.96219,0.98302,0.93056,0.32448,0.23683,0.7423,0.007426,0.007426,0.007426
28,172990,0.31923,0.28684,0.82913,0.98028,0.96192,0.98289,0.93055,0.32352,0.23726,0.74225,0.007327,0.007327,0.007327
